0.0000 0.0000 0.0000    -18.8976  -6.6610  -1.9942  -1.9942
0.0167 0.0289 0.0000    -18.8775  -6.6385  -2.1331  -2.0421
0.0333 0.0577 0.0000    -18.8174  -6.5769  -2.3850  -2.1989
0.0500 0.0866 0.0000    -18.7173  -6.4845  -2.7671  -2.4629
0.0667 0.1155 0.0000    -18.5766  -6.3190  -3.2048  -2.7485
0.0833 0.1443 0.0000    -18.3957  -6.1070  -3.7445  -3.0844
0.1000 0.1732 0.0000    -18.1807  -5.8520  -4.3504  -3.5116
0.1167 0.2021 0.0000    -17.9220  -5.5503  -4.9884  -3.9683
0.1333 0.2309 0.0000    -17.6287  -5.5931  -5.2060  -4.4657
0.1500 0.2598 0.0000    -17.2932  -6.2123  -4.9284  -4.8070
0.1667 0.2887 0.0000    -16.9207  -6.8699  -5.4922  -4.3819
0.1833 0.3175 0.0000    -16.5167  -7.4885  -6.0284  -3.9063
0.2000 0.3464 0.0000    -16.0714  -8.0718  -6.5519  -3.4026
0.2167 0.3753 0.0000    -15.5956  -8.6667  -7.0880  -2.8811
0.2333 0.4041 0.0000    -15.0851  -9.2203  -7.5849  -2.3202
0.2500 0.4330 0.0000    -14.5458  -9.7335  -8.0396  -1.7454
0.2667 0.4619 0.0000    -13.9940 -10.2313  -8.5047  -1.1666
0.2833 0.4907 0.0000    -13.4171 -10.6936  -8.9228  -0.5820
0.3000 0.5196 0.0000    -12.8418 -11.1124  -9.2511   0.0014
0.3167 0.5485 0.0000    -12.2995 -11.4944  -9.4995   0.5470
0.3333 0.5774 0.0000    -11.8601 -11.8601  -9.6066   1.0574
0.3000 0.5774 0.0000    -12.1913 -11.6304  -9.4724   0.6107
0.2667 0.5774 0.0000    -12.4946 -11.6284  -9.1276   0.1647
0.2333 0.5774 0.0000    -12.7558 -11.7414  -8.5916  -0.1925
0.2000 0.5774 0.0000    -12.9802 -11.8911  -7.9688  -0.4737
0.1667 0.5774 0.0000    -13.1659 -12.0424  -7.3274  -0.7339
0.1333 0.5774 0.0000    -13.3232 -12.1797  -6.7362  -0.9510
0.1000 0.5774 0.0000    -13.4445 -12.2926  -6.2119  -1.0989
0.0667 0.5774 0.0000    -13.5322 -12.3779  -5.8081  -1.2209
0.0333 0.5774 0.0000    -13.5812 -12.4244  -5.5214  -1.2913
0.0000 0.5774 0.0000    -13.5982 -12.4444  -5.4505  -1.3169
0.0000 0.5434 0.0000    -13.8876 -12.1368  -5.4568  -1.4550
0.0000 0.5094 0.0000    -14.4078 -11.5213  -5.3953  -1.8025
0.0000 0.4755 0.0000    -14.9463 -10.8194  -5.2784  -2.2644
0.0000 0.4415 0.0000    -15.4697 -10.0589  -5.1355  -2.7674
0.0000 0.4075 0.0000    -15.9603  -9.2924  -4.9777  -3.2950
0.0000 0.3736 0.0000    -16.4234  -8.4997  -4.7633  -3.8223
0.0000 0.3396 0.0000    -16.8446  -7.6866  -4.5034  -4.2936
0.0000 0.3057 0.0000    -17.2274  -6.9239  -4.7336  -4.2384
0.0000 0.2717 0.0000    -17.5762  -6.1151  -5.1331  -3.9405
0.0000 0.2377 0.0000    -17.8849  -5.4938  -5.3860  -3.6147
0.0000 0.2038 0.0000    -18.1506  -5.8036  -4.5843  -3.2935
0.0000 0.1698 0.0000    -18.3790  -6.0707  -3.9074  -2.9828
0.0000 0.1358 0.0000    -18.5641  -6.2897  -3.2670  -2.6851
0.0000 0.1019 0.0000    -18.7102  -6.4611  -2.8080  -2.3861
0.0000 0.0679 0.0000    -18.8146  -6.5874  -2.4082  -2.2063
0.0000 0.0340 0.0000    -18.8769  -6.6391  -2.1649  -2.0735
0.0000 0.0000 0.0000    -18.8976  -6.6610  -1.9942  -1.9942
